map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
map: verdata 'C:\Projects\RevolutionOffline\runtime\mul/verdata.mul' applied (685 patch block(s))
[13:05:59.881] WARN  [f6_Bruin] [bot] 0x20 resync; aborting path
[13:06:03.140] WARN  [f6_Bruin] [bot] no path to (3716,2124) avoiding 0 block(s); stopping (search 610956.9us)
[13:06:03.140] WARN  [f6_Bruin] [bot] start (3718,2128,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 24 item(s), 4 mobile(s))
[13:06:05.030] WARN  [f6_Bruin] [bot] no path to (3716,2124) avoiding 0 block(s); stopping (search 601192.3us)
[13:06:05.030] WARN  [f6_Bruin] [bot] start (3718,2128,20) exits: open=8 terrain=0 mobile=0 dynamic=0 door=0 blacklist=0 (overlay saw 24 item(s), 4 mobile(s))
[13:11:10.002] WARN  [f6_Bruin] [ACTION_RESULT] npc_train invalid_state (1ms) You already know as much as I can teach of Tinkering
[13:11:14.651] WARN  [f6_Bruin] [travel] route exhausted at (3716,2124,20); trying to reach (3704,2136,20) to get somewhere routable (escape 1/3)
[13:11:21.115] WARN  [f6_Bruin] [travel] route exhausted at (3704,2136,20); trying to reach (3688,2120,20) to get somewhere routable (escape 2/3)
[13:11:30.695] WARN  [f6_Bruin] [travel] route exhausted at (3688,2120,20); trying to reach (3672,2104,20) to get somewhere routable (escape 3/3)
